headline,publication_date,news_source,sector,sentiment_label,market_impact
NSE updates margin framework for equity derivatives from Jan onwards,2022-11-17 00:33:07.597519504,Economic Times,Telecom,Neutral,Neutral
Rupee depreciates to historic low of ₹84.69 on trade deficit widening,2022-11-17 05:48:32.982596520,Business Standard,Pharma,Negative,Bearish
HDFC Bank NPA ratio rises to 42.6% in Q3; provisions surge QoQ,2022-11-17 11:03:58.367673532,Economic Times,Infrastructure,Negative,Bearish
India WPI inflation prints at 9.3% for May; IIP data due next week,2022-11-17 16:19:23.752750548,Economic Times,BFSI,Neutral,Neutral
NCLAT hears HDFC Life insolvency appeal; next hearing scheduled for Sep,2022-11-17 21:34:49.137827564,Financial Express,Telecom,Neutral,Neutral
"India GDP growth accelerates to 21.7% in Q3, ahead of IMF projections",2022-11-18 02:50:14.522904580,Business Standard,BFSI,Positive,Bullish
Axis Bank NPA ratio rises to 43.2% in Q2; provisions surge QoQ,2022-11-18 08:05:39.907981596,Reuters India,Real Estate,Negative,Bearish
IT Services sector faces GST scrutiny; ₹2117 Cr ITC claims flagged by CBIC,2022-11-18 13:21:05.293058612,Reuters India,IT Services,Negative,Bearish
MSCI rebalancing: India's weight adjusted to 16.0%; 13 stocks added/removed,2022-11-18 18:36:30.678135628,MoneyControl,Real Estate,Neutral,Neutral
"India GDP growth accelerates to 28.7% in Q1, ahead of IMF projections",2022-11-18 23:51:56.063212640,Mint,FMCG,Positive,Bullish
RBI releases draft guidelines on digital lending regulations for public comment,2022-11-19 05:07:21.448289656,Business Standard,Pharma,Neutral,Neutral
SEBI probes Delhivery for insider trading; shares locked in lower circuit,2022-11-19 10:22:46.833366672,Economic Times,BFSI,Negative,Bearish
India forex reserves hit 3609 billion USD as RBI intervention stabilises rupee,2022-11-19 15:38:12.218443688,BloombergQuint,Energy,Positive,Bullish
"HDFC Bank Q3 net profit surges 42.4%, beats Bloomberg analyst estimates",2022-11-19 20:53:37.603520704,CNBC TV18,BFSI,Positive,Bullish
SBI NPA ratio rises to 27.1% in Q2; provisions surge QoQ,2022-11-20 02:09:02.988597720,CNBC TV18,Telecom,Negative,Bearish
SEBI probes Delhivery for insider trading; shares locked in lower circuit,2022-11-20 07:24:28.373674732,Business Standard,Telecom,Negative,Bearish
HDFC Bank board rejects merger proposal; institutional investors express concern,2022-11-20 12:39:53.758751748,MoneyControl,Energy,Negative,Bearish
ONGC announces ₹2642 Cr CAPEX for pan-India digital infrastructure rollout,2022-11-20 17:55:19.143828764,BloombergQuint,Real Estate,Positive,Bullish
"IT majors TCS, Infosys report strong deal wins; sector outlook upgraded to 'Buy'",2022-11-20 23:10:44.528905780,Business Standard,Pharma,Positive,Bullish
SEBI probes Maruti Suzuki for insider trading; shares locked in lower circuit,2022-11-21 04:26:09.913982796,MoneyControl,FMCG,Negative,Bearish
Bond yields spike 25bps after higher-than-expected US Fed rate guidance,2022-11-21 09:41:35.299059812,BloombergQuint,FMCG,Negative,Bearish
RBI hikes repo rate by 25 bps amid persistent services inflation concerns,2022-11-21 14:57:00.684136828,Financial Express,Real Estate,Negative,Bearish
Telecom sector faces GST scrutiny; ₹4351 Cr ITC claims flagged by CBIC,2022-11-21 20:12:26.069213840,Economic Times,Telecom,Negative,Bearish
"UPI transaction volume crosses 3603 Cr in Sep, new all-time high",2022-11-22 01:27:51.454290856,BloombergQuint,Real Estate,Positive,Bullish
Sensex rallies 1022 points as FIIs pump ₹3175 Cr into Indian equities,2022-11-22 06:43:16.839367872,Business Standard,Telecom,Positive,Bullish
"India GDP growth accelerates to 45.7% in Q2, ahead of IMF projections",2022-11-22 11:58:42.224444888,Reuters India,Energy,Positive,Bullish
"RBI keeps repo rate unchanged, signals accommodative stance for Q4 FY22",2022-11-22 17:14:07.609521904,Financial Express,IT Services,Positive,Bullish
"Nifty 50 hits record 618 as broad-based rally lifts mid-cap, small-cap indices",2022-11-22 22:29:32.994598920,Financial Express,FMCG,Positive,Bullish
RBI hikes repo rate by 35 bps amid persistent services inflation concerns,2022-11-23 03:44:58.379675936,MoneyControl,Metals & Mining,Negative,Bearish
Telecom sector EBITDA margins expand QoQ amid easing input cost pressures,2022-11-23 09:00:23.764752948,Business Standard,Telecom,Positive,Bullish
SEBI probes Zomato for insider trading; shares locked in lower circuit,2022-11-23 14:15:49.149829964,CNBC TV18,IT Services,Negative,Bearish
RBI monetary policy committee holds repo rate at 6.81%; next review in Apr,2022-11-23 19:31:14.534906980,Business Standard,Telecom,Neutral,Neutral
NSE updates margin framework for equity derivatives from Sep onwards,2022-11-24 00:46:39.919983996,Economic Times,Energy,Neutral,Neutral
"IT majors TCS, Infosys report strong deal wins; sector outlook upgraded to 'Buy'",2022-11-24 06:02:05.305061012,Mint,FMCG,Positive,Bullish
RBI releases draft guidelines on digital lending regulations for public comment,2022-11-24 11:17:30.690138028,BloombergQuint,Telecom,Neutral,Neutral
Credit card defaults surge 14.3% YoY; RBI flags retail lending risks,2022-11-24 16:32:56.075215040,MoneyControl,Auto,Negative,Bearish
Sensex rallies 300 points as FIIs pump ₹2388 Cr into Indian equities,2022-11-24 21:48:21.460292056,CNBC TV18,Infrastructure,Positive,Bullish
IDFC First Bank announces rights issue at ₹363 per share; record date set,2022-11-25 03:03:46.845369072,Mint,BFSI,Neutral,Neutral
GST collections cross ₹1963 Cr for Aprth consecutive month,2022-11-25 08:19:12.230446088,MoneyControl,Energy,Positive,Bullish
IndusInd Bank NPA ratio rises to 12.5% in Q3; provisions surge QoQ,2022-11-25 13:34:37.615523104,Mint,Metals & Mining,Negative,Bearish
IT Services sector EBITDA margins expand QoQ amid easing input cost pressures,2022-11-25 18:50:03.000600120,BloombergQuint,IT Services,Positive,Bullish
SEBI board meets to review derivative market norms for Q2 FY22,2022-11-26 00:05:28.385677136,Economic Times,Infrastructure,Neutral,Neutral
RBI releases draft guidelines on digital lending regulations for public comment,2022-11-26 05:20:53.770754148,Economic Times,Infrastructure,Neutral,Neutral
Kotak Mahindra NPA ratio rises to 7.2% in Q4; provisions surge QoQ,2022-11-26 10:36:19.155831164,Economic Times,BFSI,Negative,Bearish
Yes Bank announces rights issue at ₹331 per share; record date set,2022-11-26 15:51:44.540908180,CNBC TV18,Metals & Mining,Neutral,Neutral
FMCG sector EBITDA margins expand QoQ amid easing input cost pressures,2022-11-26 21:07:09.925985196,Mint,FMCG,Positive,Bullish
Finance Ministry reviews PLI scheme performance across 3 key sectors,2022-11-27 02:22:35.311062212,Economic Times,Real Estate,Neutral,Neutral
"IT majors TCS, Infosys report strong deal wins; sector outlook upgraded to 'Buy'",2022-11-27 07:38:00.696139228,CNBC TV18,Infrastructure,Positive,Bullish
"IndusInd Bank Q2 net profit surges 36.7%, beats Bloomberg analyst estimates",2022-11-27 12:53:26.081216244,CNBC TV18,Telecom,Positive,Bullish
MSCI rebalancing: India's weight adjusted to 3.6%; 5 stocks added/removed,2022-11-27 18:08:51.466293256,MoneyControl,Real Estate,Neutral,Neutral
ICICI Bank upgrades credit outlook to 'Stable'; Moody's cites strong capital buffers,2022-11-27 23:24:16.851370272,BloombergQuint,Metals & Mining,Positive,Bullish
"Nifty 50 hits record 850 as broad-based rally lifts mid-cap, small-cap indices",2022-11-28 04:39:42.236447288,Business Standard,Metals & Mining,Positive,Bullish
India WPI inflation prints at 35.4% for Apr; IIP data due next week,2022-11-28 09:55:07.621524304,BloombergQuint,BFSI,Neutral,Neutral
Finance Ministry reviews PLI scheme performance across 6 key sectors,2022-11-28 15:10:33.006601320,Mint,Real Estate,Neutral,Neutral
"India GDP growth accelerates to 5.2% in Q3, ahead of IMF projections",2022-11-28 20:25:58.391678336,Reuters India,Pharma,Positive,Bullish
Zomato announces ₹2953 Cr CAPEX for pan-India digital infrastructure rollout,2022-11-29 01:41:23.776755348,BloombergQuint,Pharma,Positive,Bullish
"India GDP growth accelerates to 3.5% in Q2, ahead of IMF projections",2022-11-29 06:56:49.161832364,MoneyControl,Real Estate,Positive,Bullish
"India GDP growth accelerates to 10.3% in Q3, ahead of IMF projections",2022-11-29 12:12:14.546909380,Business Standard,BFSI,Positive,Bullish
Kotak Mahindra board rejects merger proposal; institutional investors express concern,2022-11-29 17:27:39.931986396,Business Standard,Energy,Negative,Bearish
"Bank of Baroda Q2 net profit surges 42.4%, beats Bloomberg analyst estimates",2022-11-29 22:43:05.317063412,Business Standard,Telecom,Positive,Bullish
"Nifty 50 hits record 577 as broad-based rally lifts mid-cap, small-cap indices",2022-11-30 03:58:30.702140428,Business Standard,BFSI,Positive,Bullish
Bajaj Finance announces ₹4173 Cr CAPEX for pan-India digital infrastructure rollout,2022-11-30 09:13:56.087217444,Business Standard,Metals & Mining,Positive,Bullish
Finance Ministry reviews PLI scheme performance across 11 key sectors,2022-11-30 14:29:21.472294456,Financial Express,Metals & Mining,Neutral,Neutral
India forex reserves hit 1723 billion USD as RBI intervention stabilises rupee,2022-11-30 19:44:46.857371472,Business Standard,Auto,Positive,Bullish
Reliance Industries profit warning: EBITDA margins to decline 19.6% on high input costs,2022-12-01 01:00:12.242448488,Business Standard,Auto,Negative,Bearish
Finance Ministry reviews PLI scheme performance across 8 key sectors,2022-12-01 06:15:37.627525504,Mint,Infrastructure,Neutral,Neutral
MSCI rebalancing: India's weight adjusted to 15.0%; 5 stocks added/removed,2022-12-01 11:31:03.012602520,Business Standard,BFSI,Neutral,Neutral
RBI hikes repo rate by 35 bps amid persistent core inflation concerns,2022-12-01 16:46:28.397679536,Mint,Pharma,Negative,Bearish
"UPI transaction volume crosses 3928 Cr in Sep, new all-time high",2022-12-01 22:01:53.782756552,Financial Express,Energy,Positive,Bullish
Monsoon deficit at 39.1% below normal; agri-loan stress feared in Tier-2/3 markets,2022-12-02 03:17:19.167833564,CNBC TV18,Pharma,Negative,Bearish
MSCI rebalancing: India's weight adjusted to 42.2%; 13 stocks added/removed,2022-12-02 08:32:44.552910580,Reuters India,IT Services,Neutral,Neutral
IDFC First Bank announces rights issue at ₹52 per share; record date set,2022-12-02 13:48:09.937987596,CNBC TV18,Telecom,Neutral,Neutral
Maruti Suzuki profit warning: EBITDA margins to decline 8.6% on high input costs,2022-12-02 19:03:35.323064612,MoneyControl,Telecom,Negative,Bearish
SEBI approves simplified IPO norms; Dalal Street cheers listing reforms,2022-12-03 00:19:00.708141628,Mint,FMCG,Positive,Bullish
Auto sector FDI inflows at 761 million USD in April-Dec FY24,2022-12-03 05:34:26.093218644,MoneyControl,Auto,Neutral,Neutral
NCLAT hears Wipro insolvency appeal; next hearing scheduled for Jan,2022-12-03 10:49:51.478295656,MoneyControl,Telecom,Neutral,Neutral
SBI upgrades credit outlook to 'Stable'; Moody's cites strong capital buffers,2022-12-03 16:05:16.863372672,Reuters India,Metals & Mining,Positive,Bullish
"IDFC First Bank Q1 net profit surges 39.4%, beats Bloomberg analyst estimates",2022-12-03 21:20:42.248449688,Financial Express,Energy,Positive,Bullish
RBI releases draft guidelines on digital lending regulations for public comment,2022-12-04 02:36:07.633526704,Economic Times,BFSI,Neutral,Neutral
"Axis Bank Q1 net profit surges 32.0%, beats Bloomberg analyst estimates",2022-12-04 07:51:33.018603720,CNBC TV18,Metals & Mining,Positive,Bullish
SBI NPA ratio rises to 47.4% in Q3; provisions surge QoQ,2022-12-04 13:06:58.403680736,Economic Times,Pharma,Negative,Bearish
Bond yields spike 35bps after higher-than-expected US Fed rate guidance,2022-12-04 18:22:23.788757752,Reuters India,BFSI,Negative,Bearish
SEBI approves simplified IPO norms; Dalal Street cheers listing reforms,2022-12-04 23:37:49.173834764,BloombergQuint,Infrastructure,Positive,Bullish
Bank of Baroda upgrades credit outlook to 'Stable'; Moody's cites strong capital buffers,2022-12-05 04:53:14.558911780,BloombergQuint,Real Estate,Positive,Bullish
RBI monetary policy committee holds repo rate at 6.99%; next review in Jun,2022-12-05 10:08:39.943988796,MoneyControl,Auto,Neutral,Neutral
NSE updates margin framework for equity derivatives from Sep onwards,2022-12-05 15:24:05.329065812,MoneyControl,Real Estate,Neutral,Neutral
Sensex rallies 961 points as FIIs pump ₹1067 Cr into Indian equities,2022-12-05 20:39:30.714142828,Financial Express,Infrastructure,Positive,Bullish
India forex reserves hit 892 billion USD as RBI intervention stabilises rupee,2022-12-06 01:54:56.099219844,BloombergQuint,Auto,Positive,Bullish
Pharma sector faces GST scrutiny; ₹2632 Cr ITC claims flagged by CBIC,2022-12-06 07:10:21.484296860,Business Standard,Pharma,Negative,Bearish
HDFC Life announces ₹2842 Cr CAPEX for pan-India digital infrastructure rollout,2022-12-06 12:25:46.869373872,Financial Express,Real Estate,Positive,Bullish
Sensex rallies 790 points as FIIs pump ₹2920 Cr into Indian equities,2022-12-06 17:41:12.254450888,CNBC TV18,FMCG,Positive,Bullish
"ICICI Bank Q2 net profit surges 5.0%, beats Bloomberg analyst estimates",2022-12-06 22:56:37.639527904,BloombergQuint,Auto,Positive,Bullish
SEBI probes Reliance Industries for insider trading; shares locked in lower circuit,2022-12-07 04:12:03.024604920,BloombergQuint,Infrastructure,Negative,Bearish
Real Estate sector FDI inflows at 3515 million USD in April-May FY24,2022-12-07 09:27:28.409681936,MoneyControl,Real Estate,Neutral,Neutral
ITC announces ₹4355 Cr CAPEX for pan-India digital infrastructure rollout,2022-12-07 14:42:53.794758952,MoneyControl,Telecom,Positive,Bullish
SEBI probes Wipro for insider trading; shares locked in lower circuit,2022-12-07 19:58:19.179835968,Business Standard,BFSI,Negative,Bearish
Sensex rallies 572 points as FIIs pump ₹213 Cr into Indian equities,2022-12-08 01:13:44.564912980,Business Standard,Energy,Positive,Bullish
India WPI inflation prints at 24.3% for Apr; IIP data due next week,2022-12-08 06:29:09.949989996,MoneyControl,Energy,Neutral,Neutral
Rupee depreciates to historic low of ₹83.21 on trade deficit widening,2022-12-08 11:44:35.335067012,Reuters India,BFSI,Negative,Bearish
IndusInd Bank board rejects merger proposal; institutional investors express concern,2022-12-08 17:00:00.720144028,CNBC TV18,Telecom,Negative,Bearish
"IT majors TCS, Infosys report strong deal wins; sector outlook upgraded to 'Buy'",2022-12-08 22:15:26.105221044,Economic Times,Energy,Positive,Bullish
India current account deficit widens to 22.4% of GDP in Q1 FY22,2022-12-09 03:30:51.490298060,Business Standard,Pharma,Negative,Bearish
"Nifty 50 hits record 1036 as broad-based rally lifts mid-cap, small-cap indices",2022-12-09 08:46:16.875375072,Financial Express,IT Services,Positive,Bullish
RBI releases draft guidelines on digital lending regulations for public comment,2022-12-09 14:01:42.260452088,Reuters India,Metals & Mining,Neutral,Neutral
Axis Bank board rejects merger proposal; institutional investors express concern,2022-12-09 19:17:07.645529104,Financial Express,IT Services,Negative,Bearish
MSCI rebalancing: India's weight adjusted to 5.9%; 2 stocks added/removed,2022-12-10 00:32:33.030606120,MoneyControl,BFSI,Neutral,Neutral
BFSI sector FDI inflows at 3380 million USD in April-May FY22,2022-12-10 05:47:58.415683136,CNBC TV18,BFSI,Neutral,Neutral
India current account deficit widens to 13.3% of GDP in Q1 FY24,2022-12-10 11:03:23.800760152,Financial Express,Real Estate,Negative,Bearish
"RBI keeps repo rate unchanged, signals accommodative stance for Q1 FY24",2022-12-10 16:18:49.185837168,Business Standard,Pharma,Positive,Bullish
India current account deficit widens to 3.7% of GDP in Q4 FY23,2022-12-10 21:34:14.570914180,BloombergQuint,FMCG,Negative,Bearish
Rupee depreciates to historic low of ₹86.76 on trade deficit widening,2022-12-11 02:49:39.955991196,CNBC TV18,Telecom,Negative,Bearish
MSCI rebalancing: India's weight adjusted to 13.8%; 5 stocks added/removed,2022-12-11 08:05:05.341068212,Business Standard,BFSI,Neutral,Neutral
RBI monetary policy committee holds repo rate at 6.78%; next review in Jan,2022-12-11 13:20:30.726145228,Mint,Infrastructure,Neutral,Neutral
"Nifty 50 hits record 288 as broad-based rally lifts mid-cap, small-cap indices",2022-12-11 18:35:56.111222244,CNBC TV18,Telecom,Positive,Bullish
India current account deficit widens to 30.8% of GDP in Q1 FY23,2022-12-11 23:51:21.496299260,CNBC TV18,Infrastructure,Negative,Bearish
NSE updates margin framework for equity derivatives from May onwards,2022-12-12 05:06:46.881376276,CNBC TV18,Metals & Mining,Neutral,Neutral
IT Services sector faces GST scrutiny; ₹2768 Cr ITC claims flagged by CBIC,2022-12-12 10:22:12.266453288,Financial Express,IT Services,Negative,Bearish
RBI hikes repo rate by 35 bps amid persistent energy inflation concerns,2022-12-12 15:37:37.651530304,CNBC TV18,FMCG,Negative,Bearish
NCLAT hears ITC insolvency appeal; next hearing scheduled for Aug,2022-12-12 20:53:03.036607320,MoneyControl,BFSI,Neutral,Neutral
NSE updates margin framework for equity derivatives from Jan onwards,2022-12-13 02:08:28.421684336,Mint,Infrastructure,Neutral,Neutral
TCS announces ₹2387 Cr CAPEX for pan-India digital infrastructure rollout,2022-12-13 07:23:53.806761352,CNBC TV18,Infrastructure,Positive,Bullish
India WPI inflation prints at 21.8% for Aug; IIP data due next week,2022-12-13 12:39:19.191838368,Economic Times,Telecom,Neutral,Neutral
NCLAT hears Paytm insolvency appeal; next hearing scheduled for Apr,2022-12-13 17:54:44.576915380,CNBC TV18,Infrastructure,Neutral,Neutral
"RBI keeps repo rate unchanged, signals accommodative stance for Q1 FY24",2022-12-13 23:10:09.961992396,Reuters India,Telecom,Positive,Bullish
Credit card defaults surge 11.6% YoY; RBI flags retail lending risks,2022-12-14 04:25:35.347069412,CNBC TV18,Infrastructure,Negative,Bearish
"IT majors TCS, Infosys report strong deal wins; sector outlook upgraded to 'Buy'",2022-12-14 09:41:00.732146428,Business Standard,IT Services,Positive,Bullish
Zomato announces ₹4420 Cr CAPEX for pan-India digital infrastructure rollout,2022-12-14 14:56:26.117223444,Financial Express,BFSI,Positive,Bullish
IndusInd Bank NPA ratio rises to 5.7% in Q1; provisions surge QoQ,2022-12-14 20:11:51.502300460,Reuters India,Telecom,Negative,Bearish
Reliance Industries profit warning: EBITDA margins to decline 5.6% on high input costs,2022-12-15 01:27:16.887377476,Reuters India,Real Estate,Negative,Bearish
"UPI transaction volume crosses 3628 Cr in Feb, new all-time high",2022-12-15 06:42:42.272454488,MoneyControl,IT Services,Positive,Bullish
SEBI probes HDFC Life for insider trading; shares locked in lower circuit,2022-12-15 11:58:07.657531504,CNBC TV18,FMCG,Negative,Bearish
Telecom sector EBITDA margins expand QoQ amid easing input cost pressures,2022-12-15 17:13:33.042608520,Financial Express,Telecom,Positive,Bullish
NSE updates margin framework for equity derivatives from Jul onwards,2022-12-15 22:28:58.427685536,Economic Times,Infrastructure,Neutral,Neutral
FMCG sector FDI inflows at 2575 million USD in April-Mar FY24,2022-12-16 03:44:23.812762552,Financial Express,FMCG,Neutral,Neutral
"HDFC Bank Q1 net profit surges 38.7%, beats Bloomberg analyst estimates",2022-12-16 08:59:49.197839568,Business Standard,Energy,Positive,Bullish
Sensex rallies 1026 points as FIIs pump ₹1215 Cr into Indian equities,2022-12-16 14:15:14.582916584,CNBC TV18,Metals & Mining,Positive,Bullish
"UPI transaction volume crosses 2544 Cr in Mar, new all-time high",2022-12-16 19:30:39.967993596,Mint,Metals & Mining,Positive,Bullish
IT Services sector EBITDA margins expand QoQ amid easing input cost pressures,2022-12-17 00:46:05.353070612,CNBC TV18,IT Services,Positive,Bullish
India forex reserves hit 1728 billion USD as RBI intervention stabilises rupee,2022-12-17 06:01:30.738147628,Reuters India,Auto,Positive,Bullish
Credit card defaults surge 38.6% YoY; RBI flags retail lending risks,2022-12-17 11:16:56.123224644,BloombergQuint,FMCG,Negative,Bearish
NSE updates margin framework for equity derivatives from May onwards,2022-12-17 16:32:21.508301660,Business Standard,FMCG,Neutral,Neutral
"IndusInd Bank Q3 net profit surges 14.8%, beats Bloomberg analyst estimates",2022-12-17 21:47:46.893378676,MoneyControl,Metals & Mining,Positive,Bullish
India forex reserves hit 3561 billion USD as RBI intervention stabilises rupee,2022-12-18 03:03:12.278455688,Economic Times,Telecom,Positive,Bullish
India WPI inflation prints at 10.1% for Nov; IIP data due next week,2022-12-18 08:18:37.663532704,CNBC TV18,Auto,Neutral,Neutral
RBI releases draft guidelines on digital lending regulations for public comment,2022-12-18 13:34:03.048609720,CNBC TV18,FMCG,Neutral,Neutral
"IT majors TCS, Infosys report strong deal wins; sector outlook upgraded to 'Buy'",2022-12-18 18:49:28.433686736,MoneyControl,Real Estate,Positive,Bullish
RBI monetary policy committee holds repo rate at 6.15%; next review in Oct,2022-12-19 00:04:53.818763752,BloombergQuint,IT Services,Neutral,Neutral
"UPI transaction volume crosses 762 Cr in May, new all-time high",2022-12-19 05:20:19.203840768,Mint,FMCG,Positive,Bullish
Yes Bank upgrades credit outlook to 'Stable'; Moody's cites strong capital buffers,2022-12-19 10:35:44.588917784,Mint,Auto,Positive,Bullish
NSE updates margin framework for equity derivatives from Aug onwards,2022-12-19 15:51:09.973994796,CNBC TV18,BFSI,Neutral,Neutral
Metals & Mining sector faces GST scrutiny; ₹1294 Cr ITC claims flagged by CBIC,2022-12-19 21:06:35.359071812,Business Standard,Metals & Mining,Negative,Bearish
India current account deficit widens to 45.4% of GDP in Q2 FY24,2022-12-20 02:22:00.744148828,CNBC TV18,BFSI,Negative,Bearish
Zomato announces ₹1437 Cr CAPEX for pan-India digital infrastructure rollout,2022-12-20 07:37:26.129225844,MoneyControl,IT Services,Positive,Bullish
FII outflows drag Sensex 466 points lower; rupee slips to 86.8 per USD,2022-12-20 12:52:51.514302860,Economic Times,Real Estate,Negative,Bearish
Finance Ministry reviews PLI scheme performance across 11 key sectors,2022-12-20 18:08:16.899379876,Business Standard,BFSI,Neutral,Neutral
Finance Ministry reviews PLI scheme performance across 13 key sectors,2022-12-20 23:23:42.284456892,Economic Times,BFSI,Neutral,Neutral
SEBI probes ONGC for insider trading; shares locked in lower circuit,2022-12-21 04:39:07.669533904,BloombergQuint,Real Estate,Negative,Bearish
Bond yields spike 35bps after higher-than-expected US Fed rate guidance,2022-12-21 09:54:33.054610920,CNBC TV18,FMCG,Negative,Bearish
"RBI keeps repo rate unchanged, signals accommodative stance for Q3 FY23",2022-12-21 15:09:58.439687936,Business Standard,BFSI,Positive,Bullish
Maruti Suzuki profit warning: EBITDA margins to decline 18.8% on high input costs,2022-12-21 20:25:23.824764952,BloombergQuint,Metals & Mining,Negative,Bearish
Finance Ministry reviews PLI scheme performance across 5 key sectors,2022-12-22 01:40:49.209841968,CNBC TV18,IT Services,Neutral,Neutral
"HDFC Bank Q4 net profit surges 9.9%, beats Bloomberg analyst estimates",2022-12-22 06:56:14.594918984,CNBC TV18,FMCG,Positive,Bullish
Punjab National Bank board rejects merger proposal; institutional investors express concern,2022-12-22 12:11:39.979996000,Business Standard,BFSI,Negative,Bearish
SEBI board meets to review derivative market norms for Q4 FY23,2022-12-22 17:27:05.365073012,Business Standard,IT Services,Neutral,Neutral
"IT majors TCS, Infosys report strong deal wins; sector outlook upgraded to 'Buy'",2022-12-22 22:42:30.750150028,Reuters India,Real Estate,Positive,Bullish
SEBI probes Zomato for insider trading; shares locked in lower circuit,2022-12-23 03:57:56.135227044,Business Standard,Telecom,Negative,Bearish
Energy sector FDI inflows at 503 million USD in April-Jan FY23,2022-12-23 09:13:21.520304060,Business Standard,Energy,Neutral,Neutral
GST collections cross ₹847 Cr for Novth consecutive month,2022-12-23 14:28:46.905381076,Reuters India,BFSI,Positive,Bullish
FMCG sector FDI inflows at 2443 million USD in April-Nov FY22,2022-12-23 19:44:12.290458092,Business Standard,FMCG,Neutral,Neutral
GST collections cross ₹1593 Cr for Marth consecutive month,2022-12-24 00:59:37.675535104,Reuters India,Infrastructure,Positive,Bullish
SEBI board meets to review derivative market norms for Q4 FY22,2022-12-24 06:15:03.060612120,MoneyControl,Metals & Mining,Neutral,Neutral
NCLAT hears TCS insolvency appeal; next hearing scheduled for Aug,2022-12-24 11:30:28.445689136,BloombergQuint,Energy,Neutral,Neutral
"India GDP growth accelerates to 19.0% in Q4, ahead of IMF projections",2022-12-24 16:45:53.830766152,BloombergQuint,Infrastructure,Positive,Bullish
Bajaj Finance announces ₹4560 Cr CAPEX for pan-India digital infrastructure rollout,2022-12-24 22:01:19.215843168,CNBC TV18,BFSI,Positive,Bullish
RBI releases draft guidelines on digital lending regulations for public comment,2022-12-25 03:16:44.600920184,Business Standard,Auto,Neutral,Neutral
Kotak Mahindra upgrades credit outlook to 'Stable'; Moody's cites strong capital buffers,2022-12-25 08:32:09.985997200,BloombergQuint,Auto,Positive,Bullish
"Punjab National Bank Q2 net profit surges 37.5%, beats Bloomberg analyst estimates",2022-12-25 13:47:35.371074212,Business Standard,Telecom,Positive,Bullish
RBI releases draft guidelines on digital lending regulations for public comment,2022-12-25 19:03:00.756151228,Mint,Auto,Neutral,Neutral
Axis Bank board rejects merger proposal; institutional investors express concern,2022-12-26 00:18:26.141228244,Mint,BFSI,Negative,Bearish
Maruti Suzuki announces ₹1730 Cr CAPEX for pan-India digital infrastructure rollout,2022-12-26 05:33:51.526305260,Financial Express,Telecom,Positive,Bullish
"UPI transaction volume crosses 3806 Cr in Jan, new all-time high",2022-12-26 10:49:16.911382276,Reuters India,Energy,Positive,Bullish
"SBI Q4 net profit surges 21.1%, beats Bloomberg analyst estimates",2022-12-26 16:04:42.296459292,Reuters India,Telecom,Positive,Bullish
"UPI transaction volume crosses 1760 Cr in Dec, new all-time high",2022-12-26 21:20:07.681536308,Economic Times,Auto,Positive,Bullish
IDFC First Bank announces rights issue at ₹157 per share; record date set,2022-12-27 02:35:33.066613320,Financial Express,Pharma,Neutral,Neutral
RBI hikes repo rate by 50 bps amid persistent food inflation concerns,2022-12-27 07:50:58.451690336,CNBC TV18,Metals & Mining,Negative,Bearish
SEBI probes TCS for insider trading; shares locked in lower circuit,2022-12-27 13:06:23.836767352,CNBC TV18,FMCG,Negative,Bearish
Infosys profit warning: EBITDA margins to decline 28.7% on high input costs,2022-12-27 18:21:49.221844368,Mint,Infrastructure,Negative,Bearish
SEBI approves simplified IPO norms; Dalal Street cheers listing reforms,2022-12-27 23:37:14.606921384,CNBC TV18,IT Services,Positive,Bullish
Yes Bank board rejects merger proposal; institutional investors express concern,2022-12-28 04:52:39.991998400,CNBC TV18,Energy,Negative,Bearish
SEBI board meets to review derivative market norms for Q3 FY23,2022-12-28 10:08:05.377075412,CNBC TV18,IT Services,Neutral,Neutral
Auto sector EBITDA margins expand QoQ amid easing input cost pressures,2022-12-28 15:23:30.762152428,Financial Express,Auto,Positive,Bullish
RBI releases draft guidelines on digital lending regulations for public comment,2022-12-28 20:38:56.147229444,Reuters India,Telecom,Neutral,Neutral
HDFC Life announces ₹3935 Cr CAPEX for pan-India digital infrastructure rollout,2022-12-29 01:54:21.532306460,MoneyControl,Infrastructure,Positive,Bullish
Real Estate sector FDI inflows at 1207 million USD in April-Apr FY23,2022-12-29 07:09:46.917383476,Economic Times,Real Estate,Neutral,Neutral
SEBI board meets to review derivative market norms for Q3 FY22,2022-12-29 12:25:12.302460492,Economic Times,Metals & Mining,Neutral,Neutral
"IT majors TCS, Infosys report strong deal wins; sector outlook upgraded to 'Buy'",2022-12-29 17:40:37.687537508,Business Standard,Infrastructure,Positive,Bullish
Bond yields spike 50bps after higher-than-expected US Fed rate guidance,2022-12-29 22:56:03.072614520,Business Standard,Auto,Negative,Bearish
Axis Bank announces rights issue at ₹136 per share; record date set,2022-12-30 04:11:28.457691536,Mint,IT Services,Neutral,Neutral
Bajaj Finance announces ₹3931 Cr CAPEX for pan-India digital infrastructure rollout,2022-12-30 09:26:53.842768552,Financial Express,Telecom,Positive,Bullish
NSE updates margin framework for equity derivatives from Jul onwards,2022-12-30 14:42:19.227845568,Reuters India,Auto,Neutral,Neutral
"RBI keeps repo rate unchanged, signals accommodative stance for Q1 FY22",2022-12-30 19:57:44.612922584,Reuters India,BFSI,Positive,Bullish
